商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
強力施美藥膏,"C.B. OINTMENT ""STRONG""",內衛藥製字第004550號,指示藥,軟膏劑,塑膠瓶裝;;鋁軟管,Menthol；Camphor；Methyl salicylate；Lidocaine；Chlorpheniramine Maleate,皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,暫時緩解尿布疹、蚊蟲咬傷、皮膚搔癢、皮膚炎等皮膚疾患的症狀。,中國化學製藥股份有限公司新豐工廠,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第004550號；https://mcp.fda.gov.tw/insert/lablefiles/d480a63a-c03a-4c1a-a6a6-935b38766bb1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/534bf74c-6f21-4b34-bd36-fca18af8243c?c=2
一二三藥膏,1.2.3. OINTMENT,內衛藥製字第004935號,指示藥,軟膏劑,軟管裝,Diphenhydramine；Zinc oxide；Sulfadiazine；Ethacridine Lactate Monohydrate (Acrinol),濕疹；搔癢；燙傷；傷口,濕疹／皮膚炎；蕁麻疹／搔癢；燙傷／傷口照護,皮膚外傷、急慢性濕疹、火傷、毒蟲咬傷、其他皮膚止癢消毒,西德有機化學藥品股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_8480855d-2ec1-4003-9d23-87918392f535?c=2
"""應元""磺胺嘧啶軟膏","UNGUENTUM SULFADIAZINI ""Y.Y.""",內衛藥製字第005060號,指示藥,軟膏劑,瓶裝;;管裝,Sulfadiazine,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,急救、預防及緩解皮膚刀傷、刮傷、燙傷之感染。,應元化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
“紐約”痔瘡膏,"HEMORRHOIDS OINTMENT ""NEW YORK""",內衛藥製字第005461號,指示藥,軟膏劑,瓶裝;;軟管裝附注入器,Nitrofurazone；Phenylephrine；Tetracaine,痔瘡,痔瘡外用藥,急、慢性內外痔瘡、混合痔、痔出血、單純性直腸炎、肛門裂傷,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第005461號；https://mcp.fda.gov.tw/insert/lablefiles/991c4da4-4bba-4837-a404-37f2446f24c3_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/991c4da4-4bba-4837-a404-37f2446f24c3_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/991c4da4-4bba-4837-a404-37f2446f24c3_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/991c4da4-4bba-4837-a404-37f2446f24c3_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/991c4da4-4bba-4837-a404-37f2446f24c3_3?c=2
普力能藥膏,"PRENIN OINTMENT ""N.C.P.""",內衛藥製字第005853號,指示藥,軟膏劑,罐裝;;軟管裝,Prednisolone；Chlorpheniramine Maleate,濕疹；皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,濕疹或皮膚炎，暫時緩解皮膚搔癢。,新喜國際企業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第005853號；https://mcp.fda.gov.tw/insert/lablefiles/e3af151c-8956-41db-8ed3-7f93d43c84e5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/df99a59d-8d61-4ccd-98df-fd9a9501632b?c=2
“紐約”止痛膏,"DIBUTON ANESTHETIC OINTMENT ""N.Y.""",內衛藥製字第005894號,指示藥,軟膏劑,盒裝,Dibucaine,消炎止痛,疼痛／消炎止痛外用藥,昆蟲咬傷或皮膚刺激所引起之疼痛及搔攁。,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""健康"" 害可消軟膏","HYCORZOL OINTMENT ""HEALTH""",內衛藥製字第006268號,指示藥,軟膏劑,軟管裝,Hydrocortisone；Hexachlorophene；Clemizole HCl,濕疹；皮膚炎,濕疹／皮膚炎,濕疹或皮膚炎．,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第006268號；https://mcp.fda.gov.tw/insert/lablefiles/a9bd24b3-352e-447c-9634-c37710f11200?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ec60f763-ff92-4a42-a8dd-a48c3f720d11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/368d4ff8-4799-4317-b299-f24527b49770?c=2
濕癬藥膏,KINGLENIC OINTMENT,內衛藥製字第006279號,指示藥,軟膏劑,軟管裝;;罐裝,Undecylenic Acid；Undecylenate Zinc,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳），股癬．,健喬信元醫藥生技股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
速淨消毒液,SUZINE ANTISEPTIC SOLUTION,內衛藥製字第006476號,指示藥,外用液劑,瓶裝,Benzethonium Chloride,待人工確認,其他常見皮膚外用藥,公共衛生、醫藥殺菌消毒用,信東生技股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
１％紐約鹽酸酚基麻黃素溶液,"1% PHENYLEPHRINE HYDROCHLORIDE SOLUTION ""N.Y.",內衛藥製字第006737號,指示藥,外用液劑,瓶裝,Phenylephrine,傷口,燙傷／傷口照護,血管收縮劑、鼻充血、傷口止血劑,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""南都""消炎軟膏","SEEN OINTMENT ""N.T.""",內衛藥製字第007040號,指示藥,軟膏劑,鋁軟管裝,Zinc oxide；Sulfadiazine,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,急救、預防及減緩皮膚刀傷、刮傷、燙傷之感染。緩解皮膚刺激及尿布疹。,南都化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第007040號；https://mcp.fda.gov.tw/insert/lablefiles/b78577c0-8e6c-449d-aafd-689bbdeaba05_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b78577c0-8e6c-449d-aafd-689bbdeaba05_1?c=2
克濕淨藥膏,"KESEZINE OINTMENT ""N.C.P.""",內衛藥製字第007484號,指示藥,軟膏劑,鋁軟管,Undecylenic Acid；Undecylenate Zinc,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬。,新喜國際企業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第007484號；https://mcp.fda.gov.tw/insert/lablefiles/41954b27-e720-41cf-a9cb-fa5ece501526_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/41954b27-e720-41cf-a9cb-fa5ece501526_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/41954b27-e720-41cf-a9cb-fa5ece501526_0?c=2
"""明通""克痒軟膏",COHINE OINTMENT,內衛藥製字第007527號,指示藥,軟膏劑,管裝,Menthol；Salicylic acid；Undecylenic Acid,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬、去角質。,明通化學製藥股份有限公司第二廠,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""健康""平痔隆軟膏","BENAZON OINTMENT ""HEALTH""",內衛藥製字第007695號,指示藥,軟膏劑,鋁軟管裝;;鋁塑管裝,Diphenhydramine；Zinc oxide；Benzocaine；Bismuth,痔瘡,痔瘡外用藥,痔瘡之症狀緩解。,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第007695號；https://mcp.fda.gov.tw/insert/lablefiles/0aa8836e-87fb-44ba-9de9-0b887feead15_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0aa8836e-87fb-44ba-9de9-0b887feead15_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c137c397-79a7-42f2-a391-79732c6db83e?c=2
“龍杏”克樂樂軟膏,CHLORAMPHENICOL OINTMENT,內衛藥製字第008298號,指示藥,軟膏劑,鋁管裝;;塑膠瓶裝;;塑膠瓶裝,Chloramphenicol (Potency),濕疹；細菌感染；膿皰；燙傷；傷口,濕疹／皮膚炎；細菌感染／膿皰／傷口感染；燙傷／傷口照護,化膿性外傷、創傷、火傷、擦傷、手術創傷化膿、膿痂疹、化膿性汗疱、濕疹、化膿性皮膚潰瘍,龍杏生技製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第008298號；https://mcp.fda.gov.tw/insert/lablefiles/c78b7f78-9374-4831-97fa-c091a6d79887_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c78b7f78-9374-4831-97fa-c091a6d79887_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/c78b7f78-9374-4831-97fa-c091a6d79887_0?c=2
"""仙台"" 氧化鋅軟膏","UNGUENTUM ZINCI OXIDI ""Sentai""",內衛藥製字第008661號,指示藥,軟膏劑,鋁管裝;;塑膠瓶裝,Zinc oxide,待人工確認,其他常見皮膚外用藥,緩解尿布疹,仙台藥品工業股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第008661號；https://mcp.fda.gov.tw/insert/lablefiles/4ef17941-d63f-44f3-9559-5bac9a12a2cb_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4ef17941-d63f-44f3-9559-5bac9a12a2cb_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4ef17941-d63f-44f3-9559-5bac9a12a2cb_2?c=2
剋濕癬藥膏,UNDECYL OINTMENT (STRONG ANTIMYCOTIC OINTMENT),內衛藥製字第008737號,指示藥,軟膏劑,盒裝,Undecylenic Acid；Undecylenate Zinc,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染、如足癬（香港腳）、股癬。,人人化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_a51e04db-7ca8-40b1-b1e5-9f53f46ded9c?c=2
痔瘡藥膏,"HEMORRHOIDS OINTMENT ""N.C.P.""",內衛藥製字第009215號,指示藥,軟膏劑,塑膠瓶裝;;軟管裝,Lidocaine；Prednisolone；Nitrofurazone；Phenylephrine；Bismuth,痔瘡；傷口,痔瘡外用藥；燙傷／傷口照護,內外痔瘡、痔出血、肛門周圍之炎症、肛門潰瘍、肛門裂傷,新喜國際企業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第009215號；https://mcp.fda.gov.tw/insert/lablefiles/14b3b7fd-4e21-4886-9680-7a7272e8f35c?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ad36f169-3e3a-4274-b06f-a17c8a835760?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e5a27011-5d7f-402e-9957-0da718c99be8_2?c=2
"""人人""氫化可體松軟膏","HYDROCORTISONE ACETATE OINTMENT ""GCPC""",內衛藥製字第009852號,指示藥,軟膏劑,管裝,Hydrocortisone,濕疹；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,暫時緩解濕疹、尿布疹、蚊蟲咬傷、⽪膚搔癢、⽪膚炎等⽪膚疾患的症狀。,人人化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第009852號；https://mcp.fda.gov.tw/insert/lablefiles/5cc93a18-7990-4887-a5b1-33aa3dc46c8f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8f7e31fa-c083-47ab-8557-9ce88724c095?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e0a252fe-db08-4dc3-858f-24744dce2fa1?c=2
"""紐約""桿菌素軟膏","BACITRACIN OINTMENT ""N.Y.""",內衛藥製字第009855號,指示藥,軟膏劑,管裝;;罐裝,Bacitracin,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,急救、預防急減緩皮膚刀傷、刮傷、燙傷之感染。,人人化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_d89d8c23-4830-4549-8b8f-8009318cfe3f?c=2
濕克膏,C.K. OINTMENT,內衛藥製字第010232號,指示藥,軟膏劑,塑膠罐裝;;塑膠軟管裝,Undecylenic Acid；Undecylenate Zinc,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、股癬。,健康化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_b53bc8aa-2a21-4003-a26a-e4b40fbb30a2?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_a0cde82b-0eb7-4792-a650-8e2f41936cd0?c=2；https://mcp.fda.gov.tw/insert/lablefiles/4e2bbc5b-3c1e-4049-941f-d05bb0ef85db_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4e2bbc5b-3c1e-4049-941f-d05bb0ef85db_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4e2bbc5b-3c1e-4049-941f-d05bb0ef85db_4?c=2
立確朗軟膏,DELTALON OINTMENT,內衛藥製字第010309號,指示藥,軟膏劑,軟管裝,Menthol；Camphor；Diphenhydramine；Hydrocortisone；Tocopherol；Vitamin A Palmitate,濕疹；皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,濕疹或皮膚炎、暫時緩解皮膚搔癢,應元化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第010309號
安期消毒液,ANTI-A SOLUTION,內衛藥製字第010467號,指示藥,外用液劑,瓶裝,Benzalkonium Chloride,待人工確認,其他常見皮膚外用藥,殺菌、消毒,中國化學製藥股份有限公司新豐工廠,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第010467號；https://mcp.fda.gov.tw/insert/lablefiles/1470dc94-d399-431e-99ad-c959cae835d1_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/7080ff50-68a1-41d8-a875-500fd5f2279e?c=2
臨得隆乳膏,RINDERON-V CREAM 0.06%,內衛藥製字第010577號,指示藥,乳膏劑,鋁軟管,Betamethasone,濕疹；皮膚炎,濕疹／皮膚炎,濕疹或皮膚炎,台灣塩野義製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第010577號；https://mcp.fda.gov.tw/insert/lablefiles/0b5054e9-69a8-4bd3-9b23-cc08e480c421?c=2;https://mcp.fda.gov.tw/insert/lablefiles/19c7be89-8588-4abc-86e3-6b0e61fa4fb1_12?c=2;https://mcp.fda.gov.tw/insert/lablefiles/19c7be89-8588-4abc-86e3-6b0e61fa4fb1_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/19c7be89-8588-4abc-86e3-6b0e61fa4fb1_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/19c7be89-8588-4abc-86e3-6b0e61fa4fb1_14?c=2
百利軟膏,PELIY OINTMENT,內衛藥製字第010632號,指示藥,軟膏劑,軟管裝,Benzocaine；Sulfanilamide,搔癢；細菌感染；膿皰；燙傷；傷口；刀傷,蕁麻疹／搔癢；細菌感染／膿皰／傷口感染；燙傷／傷口照護；刀傷外用藥,感染性皮膚疾患、火傷、刀傷、擦傷、癢疹、膿痂疹,健康化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_7f84475b-de06-4c56-a594-67f07407800b?c=2；https://mcp.fda.gov.tw/insert/lablefiles/cbbd3458-6364-4b02-be02-20dbc4b4b866_0?c=2
保膚多寧軟膏,POFUTONIN OINTMENT,內衛藥製字第010966號,指示藥,軟膏劑,軟管裝,Prednisolone,濕疹；皮膚炎,濕疹／皮膚炎,濕疹或皮膚炎。,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第010966號；https://mcp.fda.gov.tw/insert/lablefiles/e2a90792-76ab-4d7c-bbe6-e16e18d5774f?c=2
抗癢軟膏（外用）,"KANYANG OINTMENT ""WANTSUN""",內衛藥製字第010978號,指示藥,軟膏劑,罐裝;;軟管裝,Camphor；Diphenhydramine；Phenol (Carbolic Acid)；Dl-Methylephedrine HCl,濕疹；皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,濕疹、皮膚炎、皮膚搔癢症、癢疹、蕁麻疹、蚊蟲咬剌傷,萬春藥業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""紐約"" 新黴素軟膏","NEOMYCIN OINTMENT ""N.Y.""",內衛藥製字第011122號,指示藥,軟膏劑,鋁軟管裝;;塑膠瓶裝;;塑膠瓶裝,Neomycin,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,緊急處理、預防因皮膚外傷(如刀傷、擦傷、刺傷、抓傷、磨傷、輕微燙傷)造成的感染或減緩傷口的感染。,人人化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第011122號；https://mcp.fda.gov.tw/insert/lablefiles/b048a91b-b911-4468-9153-029b37e3eb10_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b048a91b-b911-4468-9153-029b37e3eb10_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b048a91b-b911-4468-9153-029b37e3eb10_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b048a91b-b911-4468-9153-029b37e3eb10_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b048a91b-b911-4468-9153-029b37e3eb10_2?c=2
"""新功""陰陽皮膚膏","ING YANG PI HU KAU ""HK""",內衛藥製字第011349號,指示藥,軟膏劑,罐裝;;軟管裝,Salicylic acid；Sulfanilamide；Sulfur (Ppt),濕疹；黴菌感染；香港腳；傷口；刀傷,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染；燙傷／傷口照護；刀傷外用藥,濕疹、疥癬、頑癬、刀傷、香港腳,新功藥品工業有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_1a2246af-89da-4e95-be9a-0919fff07a4f?c=2
保您康藥膏,PRENICOL OINTMENT,內衛藥製字第011680號,指示藥,軟膏劑,管裝,Prednisolone；Chloramphenicol,濕疹；皮膚炎；細菌感染,濕疹／皮膚炎；細菌感染／膿皰／傷口感染,濕疹、細菌性炎症、感染性皮膚炎,恆信藥品有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第011680號
"""人生"" 噴速點鼻液外用","NAZAL SPRAY ""JEN SHENG""",內衛藥製字第012086號,指示藥,外用液劑,瓶裝,Chlorpheniramine Maleate；Naphazoline HCl,膿皰,細菌感染／膿皰／傷口感染,急慢性鼻炎、過敏性鼻炎、鼻蓄膿症,人生製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第012086號；https://mcp.fda.gov.tw/insert/lablefiles/b2a38b06-6a6e-4525-8fbb-2eb9c07dc1cb_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b2a38b06-6a6e-4525-8fbb-2eb9c07dc1cb_2?c=2
保你明軟膏,PAONIMIN OINTMENT,內衛藥製字第012173號,處方藥,軟膏劑,塑膠瓶裝;;鋁軟管裝,Prednisolone；Chlorpheniramine Maleate,濕疹；皮膚炎；搔癢,濕疹／皮膚炎；蕁麻疹／搔癢,急慢性濕疹、金錢狀濕疹、滲出性濕疹及其合併感染症、皮脂溢出性濕疹、過敏性皮膚炎、藥物性皮膚炎、皮膚搔癢症、蕁麻疹、小兒濕疹、紅斑疹,福元化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第012173號；https://mcp.fda.gov.tw/insert/lablefiles/84e7c04a-333c-4824-ab17-fadb788011a4?c=2
"""福元""消炎藥膏","SULFACIN OINTMENT ""F.Y.""",內衛藥製字第012184號,指示藥,軟膏劑,軟管裝;;瓶裝,Nitrofurazone；Sulfanilamide,細菌感染；膿皰；燙傷；傷口；刀傷,細菌感染／膿皰／傷口感染；燙傷／傷口照護；刀傷外用藥,創傷（刀傷）擦傷、火傷、燙傷、蚊蟲咬傷、溼疹、膿痂疹、水疱、外耳炎、皮膚糜爛、皮膚化膿性疾患,福元化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_6686d5d2-374c-4aac-a915-f5b3c0b172a6?c=2
治傷膚軟膏,ZUSANHU OINTMENT,內衛藥製字第012224號,指示藥,軟膏劑,鋁管裝,Diphenhydramine；Sulfadiazine,搔癢；燙傷；傷口；刀傷,蕁麻疹／搔癢；燙傷／傷口照護；刀傷外用藥,急救、預防及減緩皮膚刀傷、刮傷、燙傷之感染、暫時緩解皮膚搔癢、緩解皮膚刺激及尿布疹。,美西製藥有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第012224號；https://mcp.fda.gov.tw/insert/lablefiles/fa2e6ba3-5fd2-4fde-abd5-fc55f133ce65_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/fa2e6ba3-5fd2-4fde-abd5-fc55f133ce65_1?c=2
"""福元"" 消膿膏","SYAUNONKO ""F.Y.""",內衛藥製字第012899號,指示藥,軟膏劑,鋁軟管;;塑膠瓶裝,Zinc oxide；Sulfadiazine,燙傷；傷口；刀傷,燙傷／傷口照護；刀傷外用藥,急救、預防及減緩皮膚刀傷、刮傷、燙傷之感染，緩解皮膚刺激及尿布疹。,福元化學製藥股份有限公司,是,完整適應症含刀傷，獨立列為刀傷類別。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛藥製字第012899號；https://mcp.fda.gov.tw/insert/lablefiles/a6dfed8c-99af-4f5c-b65c-7e9d537df8e8_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a6dfed8c-99af-4f5c-b65c-7e9d537df8e8_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a6dfed8c-99af-4f5c-b65c-7e9d537df8e8_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a6dfed8c-99af-4f5c-b65c-7e9d537df8e8_3?c=2
